Profile Name,Title Name,Rating Type,Star Value,Thumbs Value,Device Model,Event Utc Ts,Region View Date
Tarik,Pelé,thumb,,1,HTML 5,2021-05-30 08:46:12,
Tarik,The Final Year,thumb,,0,HTML 5,2020-12-05 18:32:40,
Tarik,Sully,thumb,,2,iPhone,2020-11-24 12:30:16,
