Esn,Country,Region Code,Device Description,Ip,Ts
WWW-BROWSE-HE3EYZDQ7XAFMKUY4L47G8P48GY2T5,FR,NAQ,Chrome - Linux,37.172.48.244,2021-06-22 10:14:13
NFCDFF-LX-HD6JKZ3P60192651L99VR5GWU9964U,FR,NAQ,Firefox - Linux,37.171.18.159,2021-06-11 11:18:06
