Profile Name,Show,Has Watched,Is Interested,Event Date
Tarik,Narcos,,,2020-04-10
Tarik,Black Mirror,,,2020-04-10
Tarik,Peaky Blinders,,,2020-04-10
Hana,Miracle in Cell No. 7,,,2020-04-10
Hana,Mowgli: Legend of the Jungle,,,2020-04-10
Hana,Money Heist,,,2020-04-10
